precision,recall,f1-score,support,source
0.6613756613756614,0.3263707571801567,0.4370629370629371,383.0,mimic
0.2692307692307692,0.08,0.12334801762114536,175.0,mimic
0.10437710437710437,0.20394736842105263,0.13808463251670378,152.0,mimic
0.4666666666666667,0.24277456647398843,0.3193916349809886,173.0,mimic
0.07692307692307693,0.01639344262295082,0.02702702702702703,61.0,mimic
0.0,0.0,0.0,29.0,mimic
0.0,0.0,0.0,39.0,mimic
0.15625,0.06756756756756757,0.09433962264150943,74.0,mimic
0.39211136890951276,0.38063063063063063,0.38628571428571423,444.0,mimic
0.35054347826086957,0.2529411764705882,0.2938496583143508,1530.0,mimic
0.23632607194253236,0.1464093703218163,0.16950439845955836,1530.0,mimic
0.3839040337314035,0.2529411764705882,0.2910884070849888,1530.0,mimic
0.22462546816479398,0.21346754057428213,0.2148876404494382,1530.0,mimic
0.6228070175438597,0.22397476340694006,0.32946635730858465,317.0,pad
0.10714285714285714,0.12,0.1132075471698113,50.0,pad
0.05263157894736842,0.10256410256410256,0.06956521739130435,39.0,pad
0.25,0.08333333333333333,0.125,72.0,pad
0.0,0.0,0.0,21.0,pad
0.0,0.0,0.0,6.0,pad
0.0,0.0,0.0,26.0,pad
0.0,0.0,0.0,12.0,pad
0.363013698630137,0.29120879120879123,0.32317073170731714,182.0,pad
0.30303030303030304,0.19310344827586207,0.2358887952822241,725.0,pad
0.15506612802935804,0.0912312211681297,0.10671220595300193,725.0,pad
0.3984939202043844,0.19310344827586207,0.2491466610680062,725.0,pad
0.12342472342472342,0.14682539682539683,0.12754071325499897,725.0,pad
0.0,0.0,0.0,184.0,cxp
0.05963302752293578,0.11504424778761062,0.0785498489425982,113.0,cxp
0.047619047619047616,0.009615384615384616,0.016,104.0,cxp
0.6310160427807486,0.4229390681003584,0.5064377682403433,279.0,cxp
0.0,0.0,0.0,31.0,cxp
0.0,0.0,0.0,55.0,cxp
0.0,0.0,0.0,46.0,cxp
0.3469387755102041,0.3493150684931507,0.34812286689419797,146.0,cxp
0.5218295218295218,0.4836223506743738,0.502,519.0,cxp
0.40674789128397376,0.2938388625592417,0.3411949685534591,1477.0,cxp
0.17855960169582863,0.15339290218565313,0.16123449823079328,1477.0,cxp
0.34477113883027294,0.2938388625592417,0.3136088076073949,1477.0,cxp
0.19806889352818371,0.1799582463465553,0.1838005765980714,1477.0,cxp
0.4131455399061033,0.6956521739130435,0.5184094256259205,253.0,nih
0.0,0.0,0.0,131.0,nih
0.5,0.012048192771084338,0.023529411764705882,83.0,nih
0.5,0.009836065573770493,0.01929260450160772,305.0,nih
0.0,0.0,0.0,14.0,nih
0.0,0.0,0.0,61.0,nih
0.0,0.0,0.0,66.0,nih
0.0,0.0,0.0,152.0,nih
0.6,0.01639344262295082,0.03191489361702128,549.0,nih
0.4144736842105263,0.1171003717472119,0.1826086956521739,1614.0,nih
0.2236828377673448,0.08154776387564991,0.06590514838991728,1614.0,nih
0.3890494557597547,0.1171003717472119,0.09697400670914717,1614.0,nih
0.1807370184254606,0.18324958123953097,0.1814405360134003,1614.0,nih
0.16666666666666666,0.005434782608695652,0.010526315789473684,184.0,cxp+nih
0.05701754385964912,0.11504424778761062,0.07624633431085044,113.0,cxp+nih
0.1388888888888889,0.04807692307692308,0.07142857142857144,104.0,cxp+nih
0.33114035087719296,0.5412186379928315,0.41088435374149657,279.0,cxp+nih
0.043478260869565216,0.06451612903225806,0.05194805194805195,31.0,cxp+nih
0.0,0.0,0.0,55.0,cxp+nih
0.0,0.0,0.0,46.0,cxp+nih
0.11835748792270531,0.3356164383561644,0.17500000000000002,146.0,cxp+nih
0.5008605851979346,0.5606936416184971,0.5290909090909092,519.0,cxp+nih
0.2661122661122661,0.34664861205145564,0.30108791531902385,1477.0,cxp+nih
0.15071219825362253,0.18562231116366448,0.14723605958992814,1477.0,cxp+nih
0.28606426168137294,0.34664861205145564,0.2940938086888353,1477.0,cxp+nih
0.2082463465553236,0.21605775922059847,0.20354408986976838,1477.0,cxp+nih
0.6,0.018808777429467086,0.03647416413373861,319.0,cxp+pad
0.0,0.0,0.0,256.0,cxp+pad
0.0,0.0,0.0,196.0,cxp+pad
0.5234657039711191,0.35714285714285715,0.424597364568082,406.0,cxp+pad
0.0,0.0,0.0,54.0,cxp+pad
0.0,0.0,0.0,84.0,cxp+pad
0.0,0.0,0.0,79.0,cxp+pad
0.3140495867768595,0.35514018691588783,0.3333333333333333,214.0,cxp+pad
0.7820823244552058,0.39827373612823674,0.5277777777777778,811.0,cxp+pad
0.5777310924369747,0.2273666804464655,0.3263126668644319,2419.0,cxp+pad
0.2466219572447983,0.12548506195738318,0.14690918220143687,2419.0,cxp+pad
0.4569667021561365,0.2273666804464655,0.28250636605391277,2419.0,cxp+pad
0.17822384428223842,0.15540145985401457,0.16224887035106014,2419.0,cxp+pad
0.5,0.7234513274336283,0.5913200723327305,452.0,nih+pad
1.0,0.0051813471502590676,0.010309278350515464,193.0,nih+pad
0.0,0.0,0.0,131.0,nih+pad
0.29411764705882354,0.02512562814070352,0.0462962962962963,199.0,nih+pad
0.0,0.0,0.0,44.0,nih+pad
0.0,0.0,0.0,35.0,nih+pad
0.0,0.0,0.0,59.0,nih+pad
0.0,0.0,0.0,80.0,nih+pad
0.6086956521739131,0.029535864978902954,0.056338028169014086,474.0,nih+pad
0.4950071326676177,0.20815836832633472,0.29307432432432434,1667.0,nih+pad
0.26697925547030404,0.0870326853003882,0.07825151946095071,1667.0,nih+pad
0.45953878278052823,0.20815836832633472,0.18307351633540456,1667.0,nih+pad
