env,epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,train_f1,valid_f1,worst_train_accuracy,worst_valid_accuracy
['CXP'],1,0.9014082070432764,0.6162945578968714,0.702106237411499,0.8333057165145874,0.07055815331214003,0.07358462567387837,0.19187963008880615,0.6127912998199463
['CXP'],2,0.5247276987464927,0.42478407252402534,0.8333997130393982,0.8512446880340576,0.08489284742438429,0.1401703986454606,0.6323953866958618,0.6358315348625183
['CXP'],3,0.38698180801947757,0.38198646666511654,0.8530451655387878,0.8511487245559692,0.10681725022953101,0.11722419530341258,0.652022659778595,0.6349311470985413
['CXP'],4,0.3483992714121384,0.37316046603142267,0.8592135906219482,0.8584481477737427,0.12312609886828296,0.10045251745176631,0.6823457479476929,0.6612553000450134
['CXP'],5,0.3328392427611491,0.3671497284419953,0.8650150299072266,0.8612586259841919,0.1399177644376528,0.11453013734056,0.7091366648674011,0.6693061590194702
['CXP'],6,0.31634132555319605,0.3657439149561382,0.8695291876792908,0.8595339059829712,0.1540303484503855,0.11768275055047173,0.727141797542572,0.6763506531715393
['CXP'],7,0.30688768358146606,0.36811056004630194,0.8732479810714722,0.8591797351837158,0.1722975842664394,0.11120243655462533,0.739314079284668,0.6942002177238464
['CXP'],8,0.2938754622250387,0.36351311481188214,0.8795922994613647,0.8615829944610596,0.19629075058250894,0.11478132535502542,0.768693745136261,0.6653866767883301
['CXP'],9,0.2821348149365875,0.3645032479649498,0.8839012384414673,0.8625926971435547,0.21340299745988442,0.1298786617841193,0.784235954284668,0.6859905123710632
['CXP'],10,0.2707649623694485,0.36517909888237243,0.8887927532196045,0.8597623109817505,0.23898255662644952,0.12104276727645552,0.799831211566925,0.6849576234817505
['MIMIC'],1,1.8729703211456705,1.481379165520539,0.6595315933227539,0.7116081118583679,0.09655875037311443,0.11741916552563764,0.04723276197910309,0.0494270846247673
['MIMIC'],2,0.7236913774797968,0.40953689700848345,0.7927125096321106,0.84870445728302,0.07483862484648587,0.07795720630247424,0.5414151549339294,0.6635937690734863
['MIMIC'],3,0.38781639735546436,0.36399822766716416,0.8477388620376587,0.8553190231323242,0.09078980441012512,0.08992194933814893,0.6893588304519653,0.6917709112167358
['MIMIC'],4,0.35790693761363757,0.355679412306966,0.8559645414352417,0.8561979532241821,0.12286099704471273,0.10239758849963426,0.7208887934684753,0.6996354460716248
['MIMIC'],5,0.3445242608229576,0.35183552358601544,0.8606159687042236,0.8560807108879089,0.1401643203054856,0.11363790510619345,0.743988037109375,0.7169270515441895
['MIMIC'],6,0.3331350130570349,0.35696023863715093,0.864240288734436,0.8508073091506958,0.1553162923097249,0.13138916701204903,0.7592707872390747,0.7299479246139526
['MIMIC'],7,0.32583220304263244,0.34553842012946673,0.8658750057220459,0.8610482215881348,0.1726951038141226,0.12566899072666363,0.7628018260002136,0.7365624904632568
['MIMIC'],8,0.31605958211489427,0.3449804075666376,0.8685553669929504,0.8579556941986084,0.17937319031875723,0.11653533399714958,0.7698364853858948,0.7340103983879089
['MIMIC'],9,0.308242816002791,0.34400319312069866,0.8717538714408875,0.8579232096672058,0.20353780174494926,0.14452603032013253,0.7783645391464233,0.738854169845581
['MIMIC'],10,0.30208786898981493,0.34193406201697685,0.8748385906219482,0.8587044477462769,0.2181499423915889,0.1303636265072826,0.7913179993629456,0.7399479746818542
['NIH'],1,2.695419529556785,1.8929639907732403,0.3843994140625,0.35808485746383667,0.1541973425852667,0.11288314022419477,0.0172526054084301,0.01653287559747696
['NIH'],2,1.7684089369611105,1.6206292198128895,0.475029855966568,0.5894854068756104,0.15303181737947147,0.14481103113941682,0.02035590261220932,0.02525324933230877
['NIH'],3,0.8540623061517559,0.6689714549338981,0.7298774123191833,0.8570784330368042,0.13853377105743006,0.14476748348331542,0.3720703125,0.5185158848762512
['NIH'],4,0.4051125071346055,0.34390371596976504,0.866943359375,0.8840010762214661,0.10297826677455038,0.11082320423561298,0.5705729722976685,0.5571244359016418
['NIH'],5,0.26168277168765425,0.27013282800373967,0.903795063495636,0.8966008424758911,0.08527791831947472,0.07117846642657408,0.6102864742279053,0.5641485452651978
['NIH'],6,0.2427589698351892,0.2594476729631424,0.901388943195343,0.9002382755279541,0.09438676043858929,0.07475440379403794,0.6355252265930176,0.5775038599967957
['NIH'],7,0.23302520956591039,0.25394832973610865,0.9112603664398193,0.9028693437576294,0.09213544944511405,0.07891099079305294,0.659092903137207,0.5892822742462158
['NIH'],8,0.2259763809535986,0.24898312724616428,0.9135579466819763,0.9028424620628357,0.1060149199115652,0.0795323942674936,0.6827256679534912,0.5894017219543457
['NIH'],9,0.225207186059478,0.2569839310972658,0.901331901550293,0.9011431932449341,0.11197188311419633,0.07970982939849688,0.7092665433883667,0.5932483077049255
['NIH'],10,0.21965383302927743,0.25454411980223984,0.9012858271598816,0.9014119505882263,0.11908274843885897,0.07850592390066075,0.7035156488418579,0.5875860452651978
['PAD'],1,1.2269549501965058,1.3088908108269297,0.6145431399345398,0.37897855043411255,0.08583386631074671,0.1182111073175175,0.09206081181764603,0.017071759328246117
['PAD'],2,0.5725370502960709,1.062684780213891,0.7990606427192688,0.7117694020271301,0.08134191121153249,0.10658506991294557,0.3483952581882477,0.144097238779068
['PAD'],3,0.3423233477337938,0.3363381951320462,0.9071913957595825,0.9121817350387573,0.05494280096076554,0.10536853758901325,0.6354970932006836,0.6148726940155029
['PAD'],4,0.2936911914913421,0.2897037783773934,0.9182201623916626,0.9193431735038757,0.051590249551800145,0.10825436640654032,0.6558880805969238,0.6611689925193787
