precision,recall,f1-score,support,source
0.24867724867724866,0.22153439153439153,0.22801209372637946,1183.0,cxp
0.596958174904943,0.8134715025906736,0.6885964912280701,193.0,nih
0.0,0.0,0.0,34.0,nih
0.0,0.0,0.0,9.0,nih
0.6,0.061224489795918366,0.1111111111111111,49.0,nih
0.0,0.0,0.0,2.0,nih
0.0,0.0,0.0,6.0,nih
0.0,0.0,0.0,23.0,nih
0.0,0.0,0.0,9.0,nih
0.5,0.03773584905660377,0.07017543859649122,106.0,nih
0.5878136200716846,0.3805104408352668,0.46197183098591543,431.0,nih
0.18855090832277144,0.10138131571591064,0.0966536712150747,431.0,nih
0.45849867228922037,0.3805104408352668,0.33824167921737835,431.0,nih
0.43515981735159814,0.4397260273972603,0.4364383561643836,431.0,nih
0.6424581005586593,0.45454545454545453,0.5324074074074074,253.0,cxp+nih
0.0,0.0,0.0,131.0,cxp+nih
0.0,0.0,0.0,83.0,cxp+nih
0.5882352941176471,0.45901639344262296,0.5156537753222836,305.0,cxp+nih
0.0,0.0,0.0,14.0,cxp+nih
0.0,0.0,0.0,61.0,cxp+nih
0.0,0.0,0.0,66.0,cxp+nih
0.4339622641509434,0.3026315789473684,0.3565891472868217,152.0,cxp+nih
0.8333333333333334,0.4007285974499089,0.5412054120541204,549.0,cxp+nih
0.6520650813516896,0.3228004956629492,0.4318276004973063,1614.0,cxp+nih
0.27755433246228706,0.17965800270948387,0.2162061935634037,1614.0,cxp+nih
0.5361932641252581,0.3228004956629492,0.39857298460512985,1614.0,cxp+nih
0.28969849246231155,0.27494137353433834,0.27783441014596794,1614.0,cxp+nih
0.7647058823529411,0.07065217391304347,0.12935323383084577,184.0,cxp+pad
0.0,0.0,0.0,113.0,cxp+pad
0.4,0.019230769230769232,0.03669724770642202,104.0,cxp+pad
0.6153846153846154,0.4014336917562724,0.4859002169197397,279.0,cxp+pad
0.0,0.0,0.0,31.0,cxp+pad
0.0,0.0,0.0,55.0,cxp+pad
0.0,0.0,0.0,46.0,cxp+pad
0.46534653465346537,0.3219178082191781,0.3805668016194332,146.0,cxp+pad
0.8414096916299559,0.36801541425818884,0.5120643431635389,519.0,cxp+pad
0.6797020484171322,0.24712254570074474,0.36246276067527305,1477.0,cxp+pad
0.3429829693356642,0.13124998415305023,0.17162020480444218,1477.0,cxp+pad
0.5813340650376452,0.24712254570074474,0.32803508222428224,1477.0,cxp+pad
0.174321503131524,0.15607167710508002,0.1615369321006064,1477.0,cxp+pad
0.6013289036544851,0.5709779179810726,0.5857605177993528,317.0,nih+pad
0.0,0.0,0.0,50.0,nih+pad
0.0,0.0,0.0,39.0,nih+pad
