precision,recall,f1-score,support,source
0.6542056074766355,0.5405405405405406,0.5919661733615221,259.0,mimic
0.14285714285714285,0.006289308176100629,0.012048192771084338,159.0,mimic
0.2,0.02459016393442623,0.043795620437956206,122.0,mimic
0.4326923076923077,0.3,0.3543307086614173,150.0,mimic
0.0,0.0,0.0,42.0,mimic
0.0,0.0,0.0,29.0,mimic
0.0,0.0,0.0,36.0,mimic
0.25,0.04225352112676056,0.07228915662650602,71.0,mimic
0.775,0.25271739130434784,0.3811475409836066,368.0,mimic
0.6,0.23058252427184467,0.3331385154880187,1236.0,mimic
0.2727505620028985,0.1295989916757973,0.16173082142689918,1236.0,mimic
0.47282150825613306,0.23058252427184467,0.2905521025455737,1236.0,mimic
0.27894144144144145,0.2598423423423424,0.2656756756756757,1236.0,mimic
0.5925925925925926,0.25806451612903225,0.3595505617977528,124.0,pad
0.0,0.0,0.0,16.0,pad
0.0,0.0,0.0,30.0,pad
0.5,0.043478260869565216,0.08,23.0,pad
0.3333333333333333,0.05263157894736842,0.09090909090909091,19.0,pad
0.0,0.0,0.0,0.0,pad
0.0,0.0,0.0,3.0,pad
0.0,0.0,0.0,3.0,pad
0.5,0.05263157894736842,0.09523809523809525,76.0,pad
0.5352112676056338,0.1292517006802721,0.20821917808219179,294.0,pad
0.2139917695473251,0.045200659432592695,0.0695219719938821,294.0,pad
0.43984630889392795,0.1292517006802721,0.18840012798737862,294.0,pad
0.10670731707317073,0.10670731707317073,0.10670731707317073,294.0,pad
0.0,0.0,0.0,60.0,cxp
0.15396825396825398,1.0,0.266850068775791,97.0,cxp
0.09146341463414634,0.20270270270270271,0.12605042016806725,74.0,cxp
0.41362126245847175,0.97265625,0.5804195804195804,256.0,cxp
0.0,0.0,0.0,12.0,cxp
0.09566787003610108,0.9636363636363636,0.17405582922824303,55.0,cxp
0.06825396825396825,1.0,0.1277860326894502,43.0,cxp
0.22988505747126436,0.9790209790209791,0.3723404255319149,143.0,cxp
0.7031746031746032,1.0,0.825722273998136,443.0,cxp
0.2718243596445374,0.8791208791208791,0.4152525454182472,1183.0,cxp
0.1951149366663121,0.6797795883733384,0.2748027367567981,1183.0,cxp
0.4058891144707206,0.8791208791208791,0.5223221628034989,1183.0,cxp
0.2739304610733182,0.6554497354497355,0.3799150232483566,1183.0,cxp
0.6,0.6683937823834197,0.6323529411764706,193.0,nih
0.0,0.0,0.0,34.0,nih
0.0,0.0,0.0,9.0,nih
0.0,0.0,0.0,49.0,nih
0.0,0.0,0.0,2.0,nih
0.0,0.0,0.0,6.0,nih
0.0,0.0,0.0,23.0,nih
0.0,0.0,0.0,9.0,nih
0.5,0.018867924528301886,0.03636363636363636,106.0,nih
0.5848214285714286,0.3039443155452436,0.39999999999999997,431.0,nih
0.12222222222222223,0.07636241187908017,0.07430184194890077,431.0,nih
0.39164733178654293,0.3039443155452436,0.2921082670570865,431.0,nih
0.35136986301369866,0.3561643835616438,0.35260273972602735,431.0,nih
0.42857142857142855,0.1,0.16216216216216217,60.0,cxp+nih
0.23529411764705882,0.041237113402061855,0.07017543859649122,97.0,cxp+nih
0.14285714285714285,0.013513513513513514,0.02469135802469136,74.0,cxp+nih
0.5916666666666667,0.5546875,0.5725806451612903,256.0,cxp+nih
0.0,0.0,0.0,12.0,cxp+nih
0.0,0.0,0.0,55.0,cxp+nih
0.0,0.0,0.0,43.0,cxp+nih
0.4583333333333333,0.38461538461538464,0.41825095057034223,143.0,cxp+nih
0.8273381294964028,0.5191873589164786,0.6380027739251041,443.0,cxp+nih
0.6469719350073855,0.3702451394759087,0.47096774193548385,1183.0,cxp+nih
0.298228979841337,0.17924898560527094,0.2095403698266757,1183.0,cxp+nih
0.5432192463209795,0.3702451394759087,0.4289008180127531,1183.0,cxp+nih
0.29828042328042326,0.2741534391534391,0.278869992441421,1183.0,cxp+nih
0.8,0.06666666666666667,0.12307692307692308,60.0,cxp+pad
0.0,0.0,0.0,97.0,cxp+pad
0.0,0.0,0.0,74.0,cxp+pad
0.6276595744680851,0.4609375,0.5315315315315315,256.0,cxp+pad
0.0,0.0,0.0,12.0,cxp+pad
0.0,0.0,0.0,55.0,cxp+pad
0.0,0.0,0.0,43.0,cxp+pad
0.5135135135135135,0.26573426573426573,0.35023041474654376,143.0,cxp+pad
