epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,train_f1,valid_f1,worst_train_accuracy,worst_valid_accuracy
1.0,1.4743242528149274,1.2325573997415167,0.38263118267059326,0.3726852834224701,0.15869375829656912,0.17439773092918384,0.0719866156578064,0.07219145447015762
2.0,0.8163296902030083,0.5741173932670774,0.5823847055435181,0.7367916703224182,0.17243591024898164,0.18196547147063907,0.2375372052192688,0.5603737831115723
3.0,0.453786250063565,0.4033976454070526,0.8097796440124512,0.8362434506416321,0.13855823666272454,0.14362483282856975,0.6417783498764038,0.6313538551330566
4.0,0.36542072243770296,0.3716072014032121,0.8568964600563049,0.852607011795044,0.11167191292804829,0.07805225027631943,0.6772693991661072,0.649203896522522
5.0,0.3384138255937329,0.3648642428364146,0.865364670753479,0.8525235652923584,0.13381366256670765,0.11493934506024195,0.7119048237800598,0.6333811283111572
6.0,0.32010056209364696,0.36453165020592526,0.8723912239074707,0.8526163101196289,0.14905569721549086,0.0866221385789811,0.7465029954910278,0.6533079743385315
7.0,0.30381533266610183,0.36230719282611656,0.8775391578674316,0.8511607646942139,0.1689605022462748,0.10353445778460238,0.7677083611488342,0.6465091109275818
8.0,0.2907154007686232,0.3613266796195481,0.8838960528373718,0.8515563011169434,0.19558562031245375,0.12791086785584294,0.7975075244903564,0.6457673907279968
9.0,0.2778997024731656,0.3612691682821731,0.8878395557403564,0.8519179224967957,0.21348425849547026,0.11246373232835918,0.8092634081840515,0.6426028609275818
10.0,0.2649175400015699,0.3600139148678172,0.8962286710739136,0.8567821979522705,0.2543617871875157,0.12622843406814538,0.8403646349906921,0.6688587665557861
1.0,0.4288487920550875,0.4047803347017251,0.8394964933395386,0.8382135629653931,0.12511671759673695,0.16067972759405202,0.6729974746704102,0.6747130155563354
2.0,0.3610721632938084,0.3775680280305485,0.8568871021270752,0.8464046716690063,0.1295925501684939,0.13091577071335253,0.7097929120063782,0.7081313729286194
3.0,0.3376456178404328,0.37193187502828723,0.863836944103241,0.851984977722168,0.16456545907023049,0.13085401426003776,0.7390314340591431,0.7241071462631226
4.0,0.32266369839453507,0.37524546642991946,0.8691017627716064,0.8548389673233032,0.18665596771214504,0.13685031553313728,0.75138920545578,0.7044004797935486
5.0,0.3086098006600202,0.3681579324650892,0.8744457960128784,0.8549027442932129,0.2022259632418132,0.1171491419527511,0.7740265130996704,0.7343431115150452
6.0,0.2963933072338512,0.36551630736034824,0.8800009489059448,0.8514947891235352,0.22787367606426412,0.13489868366515614,0.7844839692115784,0.7356504797935486
7.0,0.2837633607723503,0.36941153278537825,0.8841919898986816,0.8539062738418579,0.25830305279818755,0.11583095139154682,0.8013202548027039,0.7225446105003357
8.0,0.27415471751205034,0.3674506651845208,0.8876106142997742,0.8505381345748901,0.2599989461789406,0.15435908815321808,0.8131446242332458,0.7438138127326965
9.0,0.26457911435460746,0.3668815582831276,0.8936728239059448,0.8499322533607483,0.30946846015415946,0.14894465683450533,0.8214793801307678,0.7334821224212646
10.0,0.2541103172899967,0.3639854139610195,0.8985556364059448,0.8527224063873291,0.33450171452165756,0.166461083950186,0.8343039155006409,0.7488520741462708
1.0,0.3024790293099929,0.2980570844059737,0.8873379826545715,0.9000911712646484,0.10024192545117704,0.08366081824182486,0.5462464094161987,0.6065624952316284
2.0,0.25665186832821557,0.2875345067197318,0.9027235507965088,0.8921223878860474,0.09530008665472045,0.08451096773465193,0.6038972735404968,0.59354168176651
3.0,0.23599160870456912,0.28036233496411417,0.910842776298523,0.8896093964576721,0.10661660458199472,0.08415621369493895,0.6555765271186829,0.5903124809265137
4.0,0.223235294270137,0.27420390479505274,0.9146761894226074,0.8999349474906921,0.11407441951982716,0.0889737713267125,0.6862428784370422,0.6166666746139526
5.0,0.21379892044867518,0.27243640743116465,0.9179182052612305,0.8916016221046448,0.12981088398230173,0.08951386886535496,0.6916457414627075,0.5929166674613953
6.0,0.20332834872664238,0.27243938649676447,0.9224250316619873,0.894934892654419,0.14104688608691374,0.0939593618941445,0.7281639575958252,0.6007291674613953
7.0,0.19606736570664274,0.26962352668687545,0.9263536930084229,0.8942838907241821,0.1590813431656555,0.09397657212706606,0.7525442838668823,0.5955208539962769
8.0,0.18919206622506485,0.2648608956048497,0.9270646572113037,0.9059896469116211,0.18409821562381173,0.09293257288761222,0.7559117674827576,0.627708375453949
9.0,0.18094417146679495,0.2735655296633676,0.9318201541900635,0.902330756187439,0.19634391623880196,0.0974543177129384,0.7931932210922241,0.6117708683013916
10.0,0.17456699759781766,0.2699647293396268,0.9360594749450684,0.8846484422683716,0.23228617804357185,0.09198223911794545,0.8061392903327942,0.5477083921432495
1.0,0.7161242327069849,0.6321201343925632,0.6639201045036316,0.7859241962432861,0.05741564608604173,0.04465408329304366,0.3935546875,0.0817975401878357
2.0,0.3158547433653498,0.38076297105575097,0.8953857421875,0.8893604874610901,0.046456664743276005,0.015227645611156686,0.6300455927848816,0.6454660892486572
3.0,0.23144161725431922,0.43614212955747333,0.9200846552848816,0.8785557746887207,0.04915829388970097,0.024039824263038547,0.6669921875,0.7023571133613586
4.0,0.21154970851370958,0.2900114015657075,0.924560546875,0.9221253991127014,0.0778644748107262,0.01900337837837838,0.6902669668197632,0.6923410892486572
5.0,0.1999780101989343,0.2380868386249153,0.9285075068473816,0.9107405543327332,0.09646206273710653,0.039566532258064516,0.7216796875,0.6471688151359558
6.0,0.19179910760584887,0.23174289355472644,0.93182373046875,0.9184779524803162,0.13145657388435558,0.03412816691505216,0.7431640625,0.6560831069946289
7.0,0.1818919576765076,0.22613765560850804,0.9360555410385132,0.9238949418067932,0.13982580396136526,0.04355427181514137,0.7646484375,0.7069978713989258
8.0,0.17501688439671587,0.23649805358478002,0.9371541738510132,0.9203851819038391,0.154588052003691,0.006628787878787878,0.7765299677848816,0.7034589052200317
9.0,0.16935311706085515,0.23782399120379466,0.9397786855697632,0.9236361980438232,0.17059828056637752,0.016098484848484848,0.79150390625,0.7069978713989258
10.0,0.16368781950900224,0.23210488138150195,0.9438070058822632,0.9211488366127014,0.20830831522007165,0.037221269296740994,0.8128255605697632,0.6910055875778198
1.0,0.35290074449784525,0.3384616628128995,0.8730719089508057,0.8723582625389099,0.16271333968405974,0.18218870176580865,0.756422758102417,0.7318710088729858
2.0,0.2909001018459632,0.33148007046791816,0.8849550485610962,0.8727213740348816,0.21484683529909088,0.18796371622105576,0.7847681045532227,0.7298678159713745
3.0,0.27404443295584485,0.3348636476583378,0.8908801078796387,0.8706305027008057,0.240634151338423,0.20534317944585478,0.8019706606864929,0.7293669581413269
4.0,0.2611919037044928,0.3275583569080599,0.8957081437110901,0.8727839589118958,0.26216270852319007,0.20192743193041965,0.8200621008872986,0.7404848337173462
5.0,0.2496726671559713,0.3341735319424701,0.9011684656143188,0.869140625,0.2848162012443524,0.20910553461079923,0.8298026919364929,0.7310697436332703
6.0,0.24038310115423184,0.33117696931285245,0.9044064283370972,0.870455265045166,0.2996009126962419,0.18622840284620618,0.8417092561721802,0.7262620329856873
